id,name,group_id
364,Lambdaanzeige,54
365,Voltmeter,54
366,Head Up Display,54
367,Anzeigegerät,54
368,Vacuummeter,54
369,Benzindruckanzeige,54
370,Außentemperaturanzeige,54
371,Ladedruckanzeige,54
372,LED-Display,54
373,Tachometer,54
374,Drehzahlanzeige,54
375,Uhrzeitanzeigeinstrumente,54
376,Benzindruckanzeiger,54
377,Anzeigetafel,55
378,Spielstandsanzeige,55
379,Anziehhilfe,56
380,Anzug 3-teilig,57
381,Kinderanzug,57
382,Kinderanzug 5-teilig,57
383,Doppelpack Anzüge,57
384,Anzug,57
385,Anzug 5-teilig,57
386,Smoking,57
387,Hosenanzug,57
388,Anzug 4-teilig,57
389,Anzug 6-teilig,57
390,Frack-Anzug,57
391,Gehrock 5-teilig,57
392,Anzündkamin,58
393,Kohlekorb,58
394,Kamingitter,58
395,Regelheizer,59
396,Terrarien-Heizstein,59
397,Büro-Set,60
398,Büromöbel-Set,60
399,Arbeitsschutzbrille,61
400,PC-Arbeitsspeicher,62
401,Laptop-Arbeitsspeicher,62
402,Arbeitsspeicher,62
403,Unterputz-Einbaukörper,63
404,Grundkörper,63
405,Ablaufgarnitur,63
406,Schieber,63
407,Standarmatur,63
408,Standventil,63
409,Waschbeckenbrause,63
410,Thermischer Verbrühschutz,63
411,Wannenmischeinheit,63
412,Brausethermostat,63
413,Duscharmatur,63
414,Unterputzarmatur,63
415,Badarmatur,63
416,Wannenthermostat,63
417,Bidetarmatur,63
418,Waschtischarmatur,63
419,Küchenarmatur,63
420,Spültischarmatur,63
421,Wannenarmatur,63
422,Wannenrand-Rollbox,63
423,Armaturkartusche,64
424,Mechanische Uhr,65
425,Multifunktionsuhr,65
426,Taucheruhr,65
427,Digitaluhr,65
428,Sportuhr,65
429,Schweizer Uhr,65
430,Automatikuhr,65
431,Solaruhr,65
432,Titanuhr,65
433,Funkchronograph,65
434,Chronograph,65
435,Quarzuhr,65
436,Fliegeruhr,65
437,Funkuhr,65
438,Titanchronograph,65
439,Luxusuhr,65
440,Funk-Multifunktionsuhr,65
441,Kineticuhr,65
442,Keramikuhr,65
443,Uhrenring,65
444,Kapitänsbinde,66
445,Perlenarmband Set,67
446,Perlenarmband,67
447,Silberarmband,67
448,Goldarmband,67
449,Bettelarmband,67
450,Armkette,67
451,Gliederarmband Set,67
452,Armband Set,67
453,Charm-Armband,67
454,Armband mit Gravur,67
455,ID Armband,67
456,Edelstahlarmband,67
457,Königsarmband,67
458,Wickelarmband Set,67
459,Tennisarmband Set,67
460,Chunks,67
461,Bead-Armband-Set,67
462,Gliederarmband,67
463,Panzerarmband Set,67
464,Armband,67
465,Wickelarmband,67
466,Panzerarmband,67
467,Lederarmband Set,67
468,Tennisarmband,67
469,Armspangen Set,67
470,Armspange,67
471,Chunks Set,67
472,Armspirale,67
473,Charm-Armband Set,67
474,Bettelarmband Set,67
475,Wickelarmband mit Gravur,67
476,Armreif,67
477,Armketten Set,67
478,Edelstahlarmband Set,67
479,Lederarmband,67
480,Armreif Set,67
481,Freundschaftsarmband,67
482,Silberarmband Set,67
483,Armlehne,68
484,Medizinischer Mund-Nasen-Schutz,69
485,Community-Masken,69
486,Atemschutz-Vollmaske,69
