id,group_id,name,type,description,multi_value,relevance,unit
84136,1721,Herstellergarantie Gesamtprodukt,FLOAT,"Gültig für das gesamte Produkt, nicht Teilbereiche oder unter bestimmten Bedingungen",f,LOW,Jahr(e)
84137,1721,Informationen zur Datennutzung (nach EU Data Act),STRING,Hinweis zur Daten Nutzung und Weitergabe an Dritte und Möglichkeit der Einsicht,f,LOW,""
84138,1721,Sprachen Bedienungs-/Aufbauanleitung,STRING,"Wählen Sie hier aus der Liste der möglichen Sprachen diejenigen aus, in der eine Bedienungs-/Aufbauanleitung vorliegt.",t,LOW,""
84139,1721,Herstellergarantie,STRING,"",f,LOW,""
84140,1721,Wissenswertes,STRING,"",t,HIGH,""
84141,1721,Designer,STRING,"",t,LOW,""
84142,1721,WEEE-Reg.-Nr. DE,INTEGER,"WEEE (Waste of Electrical and Electronic Equipment) erforderlich bei ElektroG-relevanten Produkten (Gesetz über das Inverkehrbringen, die Rücknahme und die umweltverträgliche Entsorgung von Elektro- und Elektronikgeräten)",f,LOW,""
84143,1721,Lieferzustand,STRING,"",t,LOW,""
84144,1721,Wohnstil,STRING,"",t,HIGH,""
84145,1721,Kurzlink Blauer Engel,STRING,"Die Nutzung des BLAUER ENGEL Logos ist nur in Verbindung mit einem Kurzlink zulässig, der die BLAUER ENGEL Internetadresse und die Nummer der Vergabekriterien (UZ-Nummer) anzeigt.",f,LOW,""
84146,1721,Nachhaltigkeitssiegel,STRING,Die Anzeige der Siegel auf Otto.de erfolgt erst nach erfolgreicher Validierung der Zertifizierung. Alle Informationen dazu finden Sie im Helpdesk.,t,LOW,""
84147,1721,Serie Technischer Name,STRING,"Produkte mit demselben Eintrag in “Serie Technischer Name” und “Marke”, werden unter ""Mehr aus der Serie"" aufgeführt. Der hier gepflegte Serienname wird dem Kunden jedoch nicht im Filter „Serie“ angezeigt. Wenn es einen offiziellen Serienname gibt, kann dieser unter „Serie“ gepflegt werden, um im Filter „Serie“ angezeigt zu werden.",f,,""
84148,1721,Nettofüllmenge (Stück),INTEGER,"",f,LOW,St.
84149,1721,Nettofüllmenge (Volumen),FLOAT,"",f,LOW,ml
84150,1722,Besondere Merkmale,STRING,"Besonders hervorzuhebende bzw. verkaufsfördernde Eigenschaften Ihres Artikels. Diese kurze Stichwortangabe wird bei der automatischen Zusammensetzung der Artikelkurzbeschreibung (Überschrift) verwendet. Beispiele: ""mit Flockprint"", ""mit 2 unterschiedlich festen Liegeseiten"", ""nur Gehäuse""",f,HIGH,""
84151,1722,Set-Info,STRING,Zur Anzeige in der Kurzbezeichnung. Bitte kurz halten!,f,HIGH,""
84152,1722,Set-Typ,STRING,"Beachten Sie die Unterscheidung von ""Set"" und ""Packung""! Ein Set besteht aus mehreren UNTERSCHIEDLICHEN Produkttypen (z.B. Bezug, Vorleger und Matte), eine Packung besteht aus mehreren GLEICHEN Produkttypen (z.B. 4x Vorleger).",f,LOW,""
84153,1722,Ausstattung,STRING,Beschreibt die Ausstattung des Produkts,t,HIGH,""
