id,group_id,attribute_id
529,64,3045
530,64,3052
531,64,3053
532,64,3054
533,64,3057
534,64,3058
535,65,3098
536,65,3107
537,65,3130
538,65,3131
539,65,3151
540,65,3154
541,66,3176
542,66,3178
543,66,3201
544,67,3204
545,67,3211
546,67,3212
547,67,3214
548,67,3222
549,67,3246
550,67,3274
551,67,3279
552,67,3282
553,67,3306
554,67,3307
555,68,3313
556,68,3314
557,68,3316
558,68,3317
559,68,3318
560,68,3319
561,68,3328
562,69,3336
563,69,3343
564,69,3348
565,69,3349
566,69,3353
567,69,3363
568,70,3369
569,70,3371
570,70,3377
571,70,3378
572,70,3380
573,70,3381
574,70,3382
575,71,3395
576,71,3399
577,71,3411
578,71,3412
579,71,3413
580,71,3414
581,71,3428
582,71,3435
583,71,3437
584,71,3443
585,71,3447
586,71,3448
587,71,3449
588,71,3450
589,71,3451
590,71,3452
591,71,3454
592,71,3486
593,71,3489
594,72,3518
595,72,3519
596,72,3520
597,72,3521
598,72,3528
599,72,3538
600,72,3546
601,72,3547
602,72,3548
603,72,3551
604,72,3554
605,72,3560
606,72,3579
607,73,3586
608,73,3589
609,73,3595
610,73,3596
611,73,3597
612,73,3598
613,73,3600
614,73,3601
615,74,3613
616,74,3621
617,74,3622
618,74,3623
619,74,3624
620,74,3625
621,74,3627
622,74,3628
623,74,3629
624,74,3630
625,75,3641
626,75,3642
627,75,3645
628,75,3646
629,75,3647
630,75,3657
631,76,3663
632,76,3664
633,76,3679
634,77,3692
635,77,3700
636,78,3721
637,78,3727
638,78,3728
639,78,3729
640,78,3730
641,78,3731
642,78,3733
643,78,3734
644,79,3747
645,79,3756
646,79,3757
647,79,3758
648,79,3759
649,79,3760
650,79,3764
651,79,3765
652,79,3773
653,80,3780
654,80,3782
655,80,3783
656,80,3784
657,80,3785
658,80,3787
659,80,3788
660,80,3789
661,80,3790
662,80,3798
663,81,3816
664,81,3818
665,81,3840
666,81,3851
667,81,3852
668,81,3857
669,81,3858
670,81,3860
671,81,3861
672,81,3862
673,81,3863
674,82,3883
675,82,3888
676,82,3889
677,82,3891
678,82,3892
679,82,3894
680,82,3895
681,83,3903
682,83,3906
683,83,3915
684,83,3916
685,83,3917
686,83,3922
687,83,3947
688,83,3948
689,84,3953
690,84,3961
691,84,3962
692,84,3964
693,84,3965
694,84,3966
695,84,3967
696,84,3968
697,85,3976
698,85,3977
699,85,3979
700,85,3980
701,85,3981
702,85,3982
703,85,3991
704,86,3996
705,86,3997
706,86,3998
707,86,3999
708,86,4018
709,87,4026
710,87,4033
711,87,4035
712,88,4045
713,88,4046
714,88,4048
715,88,4049
716,88,4050
717,88,4051
718,88,4058
719,89,4064
720,89,4067
721,89,4068
722,89,4080
723,90,4099
724,90,4103
725,90,4107
726,90,4108
727,91,4127
728,91,4132
729,91,4134
730,91,4135
731,91,4136
732,91,4137
733,91,4138
734,92,4146
735,92,4155
736,92,4157
737,92,4158
738,92,4159
739,92,4160
740,92,4161
741,92,4162
742,93,4174
743,93,4177
744,93,4178
745,93,4185
746,93,4188
747,93,4189
748,93,4191
749,93,4192
750,93,4193
751,93,4194
752,93,4198
753,93,4209
754,94,4230
755,94,4239
756,94,4240
757,94,4241
758,94,4243
759,94,4245
760,94,4247
761,94,4249
762,94,4256
763,95,4270
764,95,4272
765,95,4273
766,95,4284
767,95,4289
768,96,4310
769,96,4313
770,96,4314
771,96,4315
772,96,4316
773,96,4319
774,96,4335
775,96,4339
776,97,4357
777,97,4358
778,97,4359
779,97,4363
780,97,4364
781,97,4367
782,97,4377
783,97,4386
784,98,4408
785,98,4409
786,98,4414
787,98,4420
788,98,4421
789,98,4422
790,98,4424
791,98,4451
792,98,4452
793,98,4456
794,99,4459
795,99,4465
796,99,4466
797,99,4467
798,99,4469
799,99,4470
800,99,4472
801,99,4473
802,99,4484
803,100,4485
804,100,4486
805,100,4488
806,100,4489
807,100,4490
808,100,4491
809,100,4494
810,100,4501
811,100,4505
812,101,4530
813,101,4533
814,101,4535
815,101,4536
816,101,4558
817,102,4565
818,102,4568
819,102,4570
820,102,4571
821,102,4579
822,103,4600
823,103,4603
824,103,4612
825,103,4615
826,103,4642
827,103,4651
828,103,4670
829,103,4673
830,104,4677
831,104,4680
832,104,4681
833,104,4690
834,104,4691
835,105,4713
836,105,4716
837,105,4717
838,105,4718
839,105,4726
840,105,4727
841,106,4749
842,106,4752
843,106,4754
844,106,4755
845,106,4777
846,107,4784
847,107,4787
848,107,4795
849,107,4796
850,107,4805
851,108,4819
852,108,4823
853,108,4826
854,108,4831
855,108,4853
856,108,4877
857,108,4882
858,108,4886
859,109,4894
860,109,4905
861,109,4920
862,110,4928
863,110,4929
864,110,4930
865,110,4931
866,110,4936
867,110,4937
868,110,4940
869,110,4946
870,110,4947
871,110,4951
872,110,4954
873,110,4957
874,110,4972
875,110,4973
876,110,4974
877,110,4975
878,110,4997
879,110,4998
880,110,5027
881,111,5033
882,111,5034
883,111,5038
